# t (s)	mx ()	my ()	mz ()	ext_dwpos (m)	ext_dwspeed (m/s)
1.282481977261561e-09	0.017330884104395646	0.08491015067102893	-0.007436360047933064	-1.1999999999999998e-08	-299.3790739560057
1.2925027692754696e-09	0.009718293759932994	0.08423398089420718	-0.007908157371373183	-1.5e-08	-75.02463941634534
1.3024982695237673e-09	0.009733536441232574	0.08316791229323849	-0.008333213756881539	-1.5e-08	-75.02463941634534
1.3125242669770725e-09	0.009508506255663868	0.08179778218920765	-0.008701928977757855	-1.5e-08	-75.02463941634534
1.3224832208882642e-09	0.017044321316957354	0.08028935272777726	-0.00900398648560965	-1.1999999999999998e-08	100.06520377830805
1.3325063047933303e-09	0.016450558855233947	0.07888257272552626	-0.009193773833425022	-1.1999999999999998e-08	100.06520377830805
1.3424806739616465e-09	0.015680397439228024	0.07779012529398752	-0.00926043912657327	-1.1999999999999998e-08	100.06520377830805
1.3524977722707123e-09	0.022671661149549414	0.07716414351636239	-0.009187594137556565	-8.999999999999998e-09	99.9515189074036
1.3624835523942051e-09	0.013588779788673427	0.07707424324895988	-0.00907616158119198	-1.1999999999999998e-08	-300.42720377370676
1.372475712139611e-09	0.0122886123316121	0.0773918201126273	-0.008992491227977618	-1.1999999999999998e-08	-300.42720377370676
1.382500716927068e-09	0.018804890328950687	0.07789990822592602	-0.009039113726476148	-8.999999999999998e-09	149.87137639173685
1.39247838436241e-09	0.01729296453545121	0.0783046261919593	-0.00920230052510246	-8.999999999999998e-09	149.87137639173685
1.4025196091533715e-09	0.007769961293159405	0.07849947327236245	-0.00942170720638118	-1.1999999999999998e-08	-149.85844201999274
1.4125226704988518e-09	0.022080220100717408	0.07849037712389002	-0.009639063464191739	-5.9999999999999975e-09	599.8163754849869
1.4225305992388011e-09	0.02050563321442848	0.07831679229054117	-0.009790235766710717	-5.9999999999999975e-09	599.8163754849869
1.4324819166469563e-09	0.018976231445676346	0.07807889010736851	-0.0098434823458312	-5.9999999999999975e-09	599.8163754849869
1.4425109910166599e-09	0.009546388871505138	0.07789578463861851	-0.009780437509278072	-8.999999999999998e-09	-100.03894676991017
1.452490280239501e-09	0.01610502460023034	0.07783857744485066	-0.009579395572759001	-5.9999999999999975e-09	300.6226127942474
1.4624898379466644e-09	0.02278144787154977	0.07798896709959482	-0.009274594060118022	-2.9999999999999975e-09	300.01326937199394
1.472506308369367e-09	0.013722764160641377	0.07826367836358591	-0.008923023184081303	-5.9999999999999975e-09	-299.5066998051931
1.4825202873191134e-09	0.012821424913477436	0.07856341919612364	-0.008585322039434108	-5.9999999999999975e-09	-299.5066998051931
1.4925287091176178e-09	0.020115226521991818	0.07877636761198693	-0.008304254841697908	-2.9999999999999975e-09	149.8321823501663
1.502519170171951e-09	0.019725909472340916	0.07884212518531887	-0.008093340741539855	-2.9999999999999975e-09	149.8321823501663
1.5125100026811097e-09	0.011646535108768105	0.0787906637253361	-0.007939345790448025	-5.9999999999999975e-09	-150.14042962069968
1.5224801076695892e-09	0.011744529053280144	0.0787182962841142	-0.007807932027939002	-5.9999999999999975e-09	-150.14042962069968
1.532485876145234e-09	0.0199848067032065	0.07873694338848268	-0.007670768267825298	-2.9999999999999975e-09	150.18116756635777
1.542483919739547e-09	0.020434446377477062	0.07894265278618666	-0.007515294245091233	-2.9999999999999975e-09	150.18116756635777
1.5524798424352143e-09	0.02101319829919003	0.07937235484002422	-0.007352102235129859	-2.9999999999999975e-09	150.18116756635777
1.5625184481094614e-09	0.021705072197343245	0.07998784572641114	-0.007201552924029696	-2.9999999999999975e-09	150.18116756635777
1.5725076184727728e-09	0.01454552216015819	0.08068019148726636	-0.007084818071118055	-5.9999999999999975e-09	-74.95925528298908
1.5824840070077566e-09	0.023372597085618285	0.08132497955185823	-0.007004758699344155	-2.9999999999999975e-09	300.71002041270026
1.5925250569360707e-09	0.016384558717942747	0.08182024967593456	-0.006968774904496505	-5.9999999999999975e-09	-298.7735367733314
1.602508218723315e-09	0.017392296371801067	0.08209350555617005	-0.006965547193061992	-5.9999999999999975e-09	-298.7735367733314
1.6124942768817513e-09	0.010483671170351698	0.0821070133366516	-0.0069830316959538395	-8.999999999999998e-09	-150.23120623441804
1.6225288563835526e-09	0.011541248137715203	0.08187386389105579	-0.007017371551468191	-8.999999999999998e-09	-150.23120623441804
1.632470222785865e-09	0.020529196029033935	0.08144646619483126	-0.007034022240750066	-5.9999999999999975e-09	150.18062295524086
1.6424845256112797e-09	0.021537583678501847	0.08098085709489879	-0.007018119141170769	-5.9999999999999975e-09	150.18062295524086
1.652527397160625e-09	0.014524830317414346	0.080599978617987	-0.006992306924849319	-8.999999999999998e-09	-149.57241453587852
1.6624841637081704e-09	0.015353117069674557	0.08039709660643318	-0.006977263695555306	-8.999999999999998e-09	-149.57241453587852
1.6725144329811992e-09	0.00813016024502841	0.08035316978943507	-0.007025545293634588	-1.1999999999999998e-08	-150.0972944128055
1.682518268489583e-09	0.008744570963784231	0.08042913020930359	-0.007158808132575273	-1.1999999999999998e-08	-150.0972944128055
1.6924746941095833e-09	0.017196702649210794	0.0805243062428201	-0.007374510975897875	-8.999999999999998e-09	150.2986349078325
1.7025107037842987e-09	0.017587948840350223	0.08056240394467214	-0.007627079277209127	-8.999999999999998e-09	150.2986349078325
1.7125228234122616e-09	0.01784278880999092	0.08052665608117549	-0.007879856031922872	-8.999999999999998e-09	150.2986349078325
